Datetime;PJM_Load_MW;Weekday;Date;Year;Month;Season;Day;Time;Hour;Minute;Week;DayOfWeek;LeapYear
1998-04-11 02:00:00;2;Saturday;1998-04-11;1998;4;Spring;11;02:00:00;2;0;15;5;False
1998-04-11 03:00:00;2;Saturday;1998-04-11;1998;4;Spring;11;03:00:00;3;0;15;5;False
1998-04-11 04:00:00;2;Saturday;1998-04-11;1998;4;Spring;11;04:00:00;4;0;15;5;False
1998-04-11 05:00:00;2;Saturday;1998-04-11;1998;4;Spring;11;05:00:00;5;0;15;5;False
1998-04-11 06:00:00;2;Saturday;1998-04-11;1998;4;Spring;11;06:00:00;6;0;15;5;False
1998-04-11 07:00:00;2;Saturday;1998-04-11;1998;4;Spring;11;07:00:00;7;0;15;5;False
1998-04-11 08:00:00;2;Saturday;1998-04-11;1998;4;Spring;11;08:00:00;8;0;15;5;False
1998-04-11 09:00:00;2;Saturday;1998-04-11;1998;4;Spring;11;09:00:00;9;0;15;5;False
1998-04-11 10:00:00;3;Saturday;1998-04-11;1998;4;Spring;11;10:00:00;10;0;15;5;False
1998-04-11 11:00:00;3;Saturday;1998-04-11;1998;4;Spring;11;11:00:00;11;0;15;5;False
1998-04-11 12:00:00;3;Saturday;1998-04-11;1998;4;Spring;11;12:00:00;12;0;15;5;False
